"det_id15","strasse","richtung","position","spur","lon_wgs84","lat_wgs84"
"100101010040785","A114","Süd","hinter Einfahrt AS Pasewalker Straße","HF_R","13.429938","52.581949"
"100101010040886","A114","Süd","hinter Einfahrt AS Pasewalker Straße","HF_2vR","13.429938","52.581949"
"100101010040987","A114","Süd","hinter Einfahrt AS Pasewalker Straße","HF_3vR","13.429938","52.581949"
"100101010000167","A115","Südwest","AS Spanische Allee – Brücke","HF_R","13.192578","52.433868"
"100101010000268","A115","Südwest","AS Spanische Allee – Brücke","HF_2vR","13.192578","52.433868"
"100101010000369","A115","Nordost","AS Spanische Allee – Brücke","HF_R","13.192747","52.433813"
"100101010000470","A115","Nordost","AS Spanische Allee – Brücke","HF_2vR","13.192747","52.433813"
"100101010004918","Adlergestell","Nordwest","vor Glienicker Weg, in Höhe Haus Nr. 333, EM neben 6. LM nach Brücke","HF_R","13.552849","52.427717"
"100101010005019","Adlergestell","Nordwest","vor Glienicker Weg, in Höhe Haus Nr. 333, EM neben 6. LM nach Brücke","HF_2vR","13.552849","52.427717"
"100101010005120","Adlergestell","Nordwest","vor Glienicker Weg, in Höhe Haus Nr. 333, EM neben 6. LM nach Brücke","HF_3vR","13.552849","52.427717"
"100101010045132","Adlergestell","Nord","zwischen S-Bahn-Brücke und Betriebsbhf. Schöneweide","HF_R","13.522509","52.448224"
"100101010045233","Adlergestell","Nord","zwischen S-Bahn-Brücke und Betriebsbhf. Schöneweide","HF_2vR","13.522509","52.448224"
"100101010086356","Adlergestell","Süd","zwischen Otto-Franke-Straße und Köpenicker Straße, 50m hinter Einfahrt Baumarkt","HF_R","13.545606","52.432193"
"100101010086457","Adlergestell","Süd","zwischen Otto-Franke-Straße und Köpenicker Straße, 50m hinter Einfahrt Baumarkt","HF_2vR","13.545606","52.432193"
"100101010086558","Adlergestell","Süd","zwischen Otto-Franke-Straße und Köpenicker Straße, 50m hinter Einfahrt Baumarkt","HF_3vR","13.545606","52.432193"
"100101010080801","Alt-Moabit","Ost","zwischen Spenerstraße und Paulstraße","HF_2vR","13.355402","52.523696"
"100101010081104","Alt-Moabit","West","zwischen Paulstraße und Spenerstraße","HF_R","13.354075","52.524184"
"100101010081205","Alt-Moabit","West","zwischen Paulstraße und Spenerstraße","HF_2vR","13.354075","52.524184"
"100101010081306","Alt-Moabit","Ost","zwischen Spenerstraße und Paulstraße","HF","13.355402","52.523696"
"100101010059478","Altonaer Straße","Südost","zwischen Klopstockstraße und Großer Stern, LM 14, ca. 180 m vor Großer Stern","Park","13.346564","52.515935"
"100101010059579","Altonaer Straße","Südost","zwischen Klopstockstraße und Großer Stern, LM 14, ca. 180 m vor Großer Stern","HF_2vR","13.346564","52.515935"
"100101010059680","Altonaer Straße","Südost","zwischen Klopstockstraße und Großer Stern, LM 14, ca. 180 m vor Großer Stern","HF_3vR","13.346564","52.515935"
"100101010016234","Am Juliusturm","West","in Höhe Haus Nr. 13-29 (Autohaus) (gegenüber)","HF_R","13.225513","52.537610"
"100101010016335","Am Juliusturm","West","in Höhe Haus Nr. 13-29 (Autohaus) (gegenüber)","HF_R","13.225531","52.537571"
"100101010016436","Am Juliusturm","West","in Höhe Haus Nr. 13-29 (Autohaus) (gegenüber)","HF_2vR","13.225531","52.537571"
"100101010016537","Am Juliusturm","Ost","in Höhe Haus Nr. 13-29 (Autohaus)","HF_R","13.225404","52.537432"
"100101010016638","Am Juliusturm","Ost","in Höhe Haus Nr. 13-29 (Autohaus)","HF_2vR","13.225404","52.537432"
"100101010090501","Am Nordbahnhof","Südost","Am Nordbahnhof","HF_R","13.384701","52.531695"
"100101010012796","Am Treptower Park","Südost","zwischen Karpfenteichstraße und Klingerstraße, in Höhe Haus Nr. 52","HF_2vR","13.469079","52.483990"
